"QUERYNO","QBLOCKNO","PLANNO","MIXOPSEQ","ACCESSTYPE","METHOD","CREATOR","TNAME","ACCESSCREATOR","ACCESSNAME","MATCHCOLS","SORTN_UNIQ","SORTC_UNIQ","SORTN_JOIN","SORTC_JOIN"
"0","1","1","0","R ","0","UPS02","Q1",,,"0","N","N","N","N"
"0","2","1","0","R ","0","UPS02","AAC",,,"0","N","N","N","N"
"0","2","2","0","R ","1","UPS02","DSNWFQB(12)",,,"0","N","N","Y","N"
"0","2","3","0",,"3",,,,,"0","N","Y","N","N"
"0","3","1","0","R ","0","UPS02","D",,,"0","N","N","N","N"
"0","3","2","0","R ","1","PBI","Account",,,"0","N","N","N","N"
"0","3","3","0","R ","1","UPS02","DSNWFQB(06)",,,"0","N","N","Y","N"
"0","3","4","0","I ","1","PBI","AccountStatus","PBI","X2AccountStatus","1","N","N","N","N"
"0","6","1","0","R ","0","PBI","SPBICBY",,,"0","N","N","N","N"
"0","7","1","0","R ","0","PBI","SPAccountControl",,,"0","N","N","N","N"
"0","7","2","0",,"3",,,,,"0","N","Y","N","N"
"0","8","1","0","R ","0","PBI","SPAccountControl",,,"0","N","N","N","N"
"0","8","2","0",,"3",,,,,"0","N","Y","N","N"
"0","9","1","0","R ","0","PBI","SPAccountControl",,,"0","N","N","N","N"
"0","9","2","0",,"3",,,,,"0","N","Y","N","N"
"0","10","1","0","R ","0","PBI","SPAccountControl",,,"0","N","N","N","N"
"0","10","2","0",,"3",,,,,"0","N","Y","N","N"
"0","11","1","0","R ","0","PBI","SPDatesControl",,,"0","N","N","N","N"
"0","12","1","0","R ","0","UPS02","AACS",,,"0","N","N","N","N"
"0","13","1","0",,"0",,,,,"0","N","N","N","N"
"0","14","1","0","R ","0","UPS02","AAC",,,"0","N","N","N","N"
"0","14","2","0",,"3",,,,,"0","N","N","N","N"
"0","15","1","0","R ","0","UPS02","DSNWFQB(17)",,,"0","N","N","N","N"
"0","15","2","0","I ","1","PBI","InfoYSR","PBI","X2InfoYSR","1","N","N","N","N"
"0","15","3","0",,"3",,,,,"0","N","N","N","N"
"0","17","1","0","R ","0","UPS02","D",,,"0","N","N","N","N"
"0","17","2","0",,"3",,,,,"0","N","Y","N","N"
"0","18","1","0","R ","0","PBI","SPAccountControl",,,"0","N","N","N","N"
"0","18","2","0",,"3",,,,,"0","N","Y","N","N"
"0","19","1","0","R ","0","PBI","SPAccountControl",,,"0","N","N","N","N"
"0","19","2","0",,"3",,,,,"0","N","Y","N","N"
"0","20","1","0","R ","0","PBI","SPAccountControl",,,"0","N","N","N","N"
"0","20","2","0",,"3",,,,,"0","N","Y","N","N"
"0","21","1","0","R ","0","PBI","SPAccountControl",,,"0","N","N","N","N"
"0","21","2","0",,"3",,,,,"0","N","Y","N","N"